0 1:5 2:375.0 3:0 4:0 5:74819.543 6:0.0 7:26.9642508068
5.6 1:31 2:528.0 3:18893818 4:2.8 5:85329.328 6:0.125 7:1397.58737743
0 1:0 2:279.0 3:0 4:0 5:25935.1 6:0.0 7:-114.240251058
5.3 1:155 2:1558.0 3:63403837 4:13.2 5:782109.5172 6:0.0588235294118 7:1527.78883095
0 1:31 2:540.0 3:0 4:0 5:168012.3666 6:0.0 7:-329.318023576
4.7 1:7 2:748.0 3:46159095 4:6.5 5:152362.2965 6:0.111111111111 7:-257.653923395
0 1:2 2:559.0 3:0 4:0 5:31181.4857 6:0.25 7:75.974376055
4.0 1:82 2:1704.0 3:165601545 4:11.2 5:868764.4351 6:0.0555555555555 7:685.611862916
0 1:26 2:318.0 3:0 4:0 5:64583.1169 6:0.0 7:-306.599600708
8.3 1:0 2:513.0 3:1347127 4:4.8 5:183289.0 6:0.0999999999999 7:1809.18438366
4.9 1:0 2:363.0 3:68214005 4:2.4 5:52897.889 6:0.142857142857 7:468.131137146
4.8 1:18 2:630.0 3:97375331 4:5.6 5:124819.9723 6:0.090909090909 7:815.086687194
5.0 1:8 2:519.0 3:72198092 4:5.2 5:193491.5792 6:0.111111111111 7:1371.52674382
3.9 1:36 2:953.0 3:205378141 4:6.18181818181 5:249590.3175 6:0.1 7:1267.93133128
3.4 1:8 2:251.0 3:25274560 4:4.0 5:35460.5 6:0.2 7:2300.49595653
5.7 1:50 2:428.0 3:79831938 4:15.0 5:205194.4691 6:0.0 7:688.014076332
4.8 1:19 2:476.0 3:56099723 4:3.5 5:42778.9143 6:0.125 7:1465.80534778
3.5 1:3 2:488.0 3:10194716 4:4.5 5:54606.5286 6:0.125 7:558.671869378
3.8 1:37 2:936.0 3:93353531 4:7.5 5:193001.4421 6:0.0833333333333 7:-39.7503687065
0 1:19 2:625.0 3:0 4:0 5:104703.9682 6:0.0 7:3657.52866458
4.7 1:43 2:1788.0 3:11881516 4:18.5 5:327492.9082 6:0.076923076923 7:-326.37230056
0 1:0 2:85.0 3:0 4:0 5:104045.5583 6:0.0 7:11.6351377738
5.9 1:48 2:897.0 3:118664096 4:7.5 5:267425.9869 6:0.2 7:2770.34702442
0 1:3 2:550.0 3:0 4:0 5:235592.6247 6:0.0 7:-15.7358746488
7.6 1:15 2:479.0 3:56861613 4:6.375 5:174716.7262 6:0.111111111111 7:2591.43551262
6.3 1:0 2:356.0 3:141687294 4:5.625 5:410432.55 6:0.0 7:1860.86763858
0 1:16 2:443.0 3:0 4:0 5:85394.0987 6:0.0 7:245.128623754
3.6 1:44 2:1172.0 3:256519268 4:8.25 5:572142.7587 6:0.0526315789474 7:477.915059695
3.7 1:70 2:739.0 3:117892326 4:9.5 5:211201.3135 6:0.1 7:620.770415601
4.5 1:6 2:614.0 3:52917910 4:3.6 5:150693.031 6:0.1 7:274.365857847
4.7 1:4 2:529.0 3:99455777 4:4.4 5:293470.9563 6:0.2 7:1773.5294848
3.9 1:157 2:2075.0 3:43136986 4:13.6 5:1546107.9068 6:0.0555555555556 7:72.7913589639
4.8 1:22 2:639.0 3:77153655 4:7.2 5:175450.7143 6:0.142857142857 7:860.211935217
0 1:19 2:462.0 3:0 4:0 5:164342.1667 6:0.5 7:987.862289675
4.7 1:18 2:695.0 3:108882564 4:4.0 5:157582.4983 6:0.0833333333334 7:659.20434595
6.7 1:45 2:1347.0 3:13615756 4:15.375 5:1334249.5818 6:0.125 7:1605.74161966
5.0 1:3 2:970.0 3:83714197 4:9.2 5:326052.1365 6:0.076923076923 7:659.915336617
3.8 1:27 2:684.0 3:272117183 4:4.5 5:488610.9582 6:0.0769230769231 7:-15.2423091308
5.7 1:15 2:826.0 3:180086690 4:5.2 5:342024.0432 6:0.0714285714286 7:382.074224085
